年份,行业代码,行业名称,变量,均值,样本量
2011,C,制造业,LLoan,0.1183,1467
2011,C,制造业,Lev,0.85,1467
2011,C,制造业,Cash,0.5091,1467
2011,C,制造业,ROA,-0.0523,1467
2011,C,制造业,ROE,0.1019,1467
2011,D,电力热力气,LLoan,2.3145,66
2011,D,电力热力气,Lev,3.8083,66
2011,D,电力热力气,Cash,0.847,66
2011,D,电力热力气,ROA,0.2064,66
2011,D,电力热力气,ROE,0.0502,66
2011,E,建筑业,LLoan,0.2022,52
2011,E,建筑业,Lev,0.9471,52
2011,E,建筑业,Cash,0.1974,52
2011,E,建筑业,ROA,0.0966,52
2011,E,建筑业,ROE,0.2226,52
2011,F,批发零售,LLoan,1.3079,75
2011,F,批发零售,Lev,2.3882,75
2011,F,批发零售,Cash,0.835,75
2011,F,批发零售,ROA,0.5281,75
2011,F,批发零售,ROE,0.2599,75
2011,G,交通运输仓储,LLoan,0.0701,201
2011,G,交通运输仓储,Lev,0.5854,201
2011,G,交通运输仓储,Cash,0.5538,201
2011,G,交通运输仓储,ROA,-0.2775,201
2011,G,交通运输仓储,ROE,0.1029,201
2011,J,金融业,LLoan,0.234,69
2011,J,金融业,Lev,0.9512,69
2011,J,金融业,Cash,0.2639,69
2011,J,金融业,ROA,-0.2393,69
2011,J,金融业,ROE,0.1758,69
2011,K,房地产业,LLoan,0.351,71
2011,K,房地产业,Lev,1.1029,71
2011,K,房地产业,Cash,0.6464,71
2011,K,房地产业,ROA,-0.0265,71
2011,K,房地产业,ROE,0.1005,71
2013,C,制造业,LLoan,0.1533,1599
2013,C,制造业,Lev,0.8871,1599
2013,C,制造业,Cash,0.501,1599
2013,C,制造业,ROA,0.148,1599
2013,C,制造业,ROE,0.0297,1599
2013,D,电力热力气,LLoan,2.2272,69
2013,D,电力热力气,Lev,3.2882,69
2013,D,电力热力气,Cash,0.8366,69
2013,D,电力热力气,ROA,0.345,69
2013,D,电力热力气,ROE,-0.02,69
2013,E,建筑业,LLoan,0.2461,56
2013,E,建筑业,Lev,1.1192,56
2013,E,建筑业,Cash,0.1691,56
2013,E,建筑业,ROA,0.0444,56
2013,E,建筑业,ROE,0.239,56
2013,F,批发零售,LLoan,1.2904,78
