0,missing_count,missing_pct
code,0,0.0
stknme,15605,16.04
listingDate,15605,16.04
end_date,15605,16.04
current_asset,42858,44.06
FS_Combas-A001107000,63862,65.66
FS_Combas-A001109000,85891,88.3
FS_Combas-A001123000,43950,45.18
total_asset,43353,44.57
FS_Combas-A001212000,42559,43.75
FS_Combas-A001204000,75109,77.22
FS_Combas-A001207000,85890,88.3
FS_Combas-A001218000,42867,44.07
FS_Combas-A001219000,76078,78.22
FS_Combas-A001200000,43354,44.57
FS_Combas-A001000000,42556,43.75
current_liability,51659,53.11
FS_Combas-A002107000,56748,58.34
FS_Combas-A002108000,43130,44.34
FS_Combas-A002114000,72298,74.33
FS_Combas-A002125000,53737,55.25
FS_Combas-A002100000,43353,44.57
FS_Combas-A002201000,61522,63.25
long_term_borrow,50045,51.45
noncurrent_liability,44118,45.36
total_liability,42556,43.75
revenue,42556,43.75
cash,42695,43.89
FS_Combas-A003103000,43019,44.23
net_profit,42556,43.75
equity,42556,43.75
FS_Combas-A004000000,42557,43.75
year,0,0.0
Top1,39519,40.63
HHI5,39519,40.63
Top2_to_Top1,39521,40.63
Lev_raw,43353,44.57
SL_raw,52112,53.58
LL_raw,44286,45.53
SDR_raw,51659,53.11
ROA_raw,43353,44.57
ROE_raw,42556,43.75
Cash_raw,43493,44.72
LLoan_raw,50859,52.29
Size,43353,44.57
Lev,43353,44.57
SL,52112,53.58
LL,44286,45.53
SDR,51659,53.11
ROA,43353,44.57
ROE,42556,43.75
Cash,43493,44.72
LLoan,50859,52.29
